ID;Id_Type;Id_Parent;hierarchy;topic_fr;topic_en;definition_fr;definition_en;Reference;available_EAU;available_Morocco
5207;65346788;5186;001.028.001.057.001.019;Aeonium glandulosum (Aiton) Webb & Berthel.;Aeonium glandulosum (Aiton) Webb & Berthel.;Aeonium glandulosum (Aiton) Webb & Berthel.;Aeonium glandulosum (Aiton) Webb & Berthel.;NULL;0;1
5208;65346788;5186;001.028.001.057.001.020;Aeonium glutinosum (Aiton) Webb & Berthel.;Aeonium glutinosum (Aiton) Webb & Berthel.;Aeonium glutinosum (Aiton) Webb & Berthel.;Aeonium glutinosum (Aiton) Webb & Berthel.;NULL;0;1
5209;65346788;5186;001.028.001.057.001.021;Aeonium gomerense (Praeger) Praeger;Aeonium gomerense (Praeger) Praeger;Aeonium gomerense (Praeger) Praeger;Aeonium gomerense (Praeger) Praeger;NULL;0;1
5210;65346788;5186;001.028.001.057.001.022;Aeonium goochiae (Webb & Berthel.) Webb & Berthel.;Aeonium goochiae (Webb & Berthel.) Webb & Berthel.;Aeonium goochiae (Webb & Berthel.) Webb & Berthel.;Aeonium goochiae (Webb & Berthel.) Webb & Berthel.;NULL;0;1
5211;65346788;5186;001.028.001.057.001.023;Aeonium haworthii (Webb & Berthel.) Webb & Berthel.;Aeonium haworthii (Webb & Berthel.) Webb & Berthel.;Aeonium haworthii (Webb & Berthel.) Webb & Berthel.;Aeonium haworthii (Webb & Berthel.) Webb & Berthel.;NULL;0;1
5212;65346788;5186;001.028.001.057.001.024;Aeonium hierrense (Murray) Pit. & Proust;Aeonium hierrense (Murray) Pit. & Proust;Aeonium hierrense (Murray) Pit. & Proust;Aeonium hierrense (Murray) Pit. & Proust;NULL;0;1
5213;65346788;5186;001.028.001.057.001.025;Aeonium holochrysum Webb & Berthel.;Aeonium holochrysum Webb & Berthel.;Aeonium holochrysum Webb & Berthel.;Aeonium holochrysum Webb & Berthel.;NULL;0;1
5214;65346788;5186;001.028.001.057.001.026;Aeonium lancerottense (Praeger) Praeger;Aeonium lancerottense (Praeger) Praeger;Aeonium lancerottense (Praeger) Praeger;Aeonium lancerottense (Praeger) Praeger;NULL;0;1
5215;65346788;5186;001.028.001.057.001.027;Aeonium lindleyi Webb & Berthel.;Aeonium lindleyi Webb & Berthel.;Aeonium lindleyi Webb & Berthel.;Aeonium lindleyi Webb & Berthel.;NULL;0;1
5216;65346788;5186;001.028.001.057.001.028;Aeonium manriqueorum Bolle;Aeonium manriqueorum Bolle;Aeonium manriqueorum Bolle;Aeonium manriqueorum Bolle;NULL;0;1
5217;65346788;5186;001.028.001.057.001.029;Aeonium mascaense Bramwell;Aeonium mascaense Bramwell;Aeonium mascaense Bramwell;Aeonium mascaense Bramwell;NULL;0;1
5218;65346788;5186;001.028.001.057.001.030;Aeonium nobile (Praeger) Praeger;Aeonium nobile (Praeger) Praeger;Aeonium nobile (Praeger) Praeger;Aeonium nobile (Praeger) Praeger;NULL;0;1
5219;65346788;5186;001.028.001.057.001.031;Aeonium palmense H.Christ;Aeonium palmense H.Christ;Aeonium palmense H.Christ;Aeonium palmense H.Christ;NULL;0;1
5220;65346788;5186;001.028.001.057.001.032;Aeonium percarneum (Murray) Pit. & Proust;Aeonium percarneum (Murray) Pit. & Proust;Aeonium percarneum (Murray) Pit. & Proust;Aeonium percarneum (Murray) Pit. & Proust;NULL;0;1
5221;65346788;5186;001.028.001.057.001.033;Aeonium pseudourbicum Bañares;Aeonium pseudourbicum Bañares;Aeonium pseudourbicum Bañares;Aeonium pseudourbicum Bañares;NULL;0;1
