Individual_Obj_PK;id1@Thes_Status_Precision;id5@TCarac_Transmitter_Frequency;id9@TCarac_Release_Ring_Code;id12@TCarac_Breeding_Ring_Code;id13@TCarac_Chip_Code
14453;lost;214852;;U08M05813;0006D0C45C
14462;lost;214959;;U08M05927;0006D0F7DE
14467;lost;214669;;U08M05943;0006C96ACE
14485;dead;214971;;U08M05970;0006D0CA41
14489;lost;214451;;U08M05974;0006C98DB9
14500;dead;214238;;U08M06044;0006D0ECF7
14502;lost;217444;;U08M06053;0006D0E7FA
14508;lost;215000;;U08M06074;0006C9F40D
14514;dead;215871;;U08M06642;0006C9814D
14524;lost;214621;;U08M06673;0006C9E3CF
14527;lost;215973;;U08M06686;0006C987EE
14530;lost;215654;;U08M06726;0006C9F523
14540;lost;215220;;U08M06759;0006C98C0C
14541;lost;215351;;U08M06760;0006C981A7
14551;dead;217757;CPM-01316;U08M03846;0006C9F3B3
14557;dead;216706;CPM-01313;U08M04045;0006D0E18F
14558;dead;218925;CPF-1271;U08M04614;0006D0D534
14560;dead;218137;CPF-1255;U08M05189;0006D0C1DB
14569;dead;218459;CPF-1322;U08M05783;0006D0F3C7
14571;dead;216997;CPM-01322;U08M05930;
14575;dead;215926;CPM-01314;U08M06107;0006C9708E
14578;dead;217105;CPF-1268;U08M06177;
14587;dead;216220;CPM-01317;U08M06236;0006D0D6C9
14611;dead;219073;CPF-1317;U08M06448;0006D0C136
14613;dead;216672;CPF-1068;U08M06456;0006D0BCB9
14620;dead;217738;CPF-1072;U08M06478;0006C9B903
14623;dead;217072;CPF-1071;U08M06528;0006D0D88F
14636;dead;214225;CPF-1318;U08M06607;0006D0D647
14641;lost;217209;CPM-01353;U08M06617;0006D0F64D
14642;dead;219667;CPF-1254;U08M06622;0006C9A498
14648;dead;219494;CPF-1077;U08M06632;0006C983F3
14675;dead;216070;CPM-01394;U08M06767;0006C97DFB
14677;dead;218081;CPM-01397;U08M06775;0006C974A6
14680;lost;218149;CPF-1277;U08M06794;0006C98229
14687;dead;215765;CPM-01395;U08M06818;0006C970D1
14697;dead;219893;CPF-1266;U08M06858;
14706;dead;216857;CPM-01318;U08M06911;0006C9F275
14707;lost;216771;CPM-01312;U08M06954;0006C9969F
14715;dead;217931;CPF-1269;U08M07103;
14725;lost;217409;CPM-01391;U08M07233;
14734;dead;218439;CPM-01393;U08M07483;
14736;dead;218787;CPM-01392;U08M07504;
14738;dead;216019;CPF-1329;U08M07514;
14742;lost;217427;CPM-01324;U08M08310;
14995;dead;218196;;U08M06973;0006CE3C97
16071;monitored;214815;W-00263;;
16072;lost;214360;W-00265;;
16074;lost;214584;;U06M03823;00068B377F
16075;dead;214916;W-0571;;
16077;lost;215201;W-0579;;
16078;lost;215390;W-0580;;
16081;lost;217946;W-0561;;
16082;dead;214420;;;
16087;dead;214045;W-00334;;
16088;dead;215537;J5537-090519;;
16089;dead;218137;W-0563;;
16090;dead;219202;W-0560;;
16093;lost;215020;W-0551;;
16094;finish;214444;W-0553;;
16095;finish;214719;W-00331;;
16096;lost;215610;W-0576;;
16097;lost;217173;W-0577;;
16098;dead;214210;W-0564;;
16099;lost;215160;W-00338;;
16110;dead;219924;W-00270;;
16111;lost;216706;W-0550;;
16112;lost;215149;W-0554;;
16114;dead;215931;W-0555;;
16115;lost;219073;W-0559;;
16116;dead;214907;W-0565;;
16117;lost;216070;W-0556;;
16118;dead;214021;;U09M00093;0006C9E2C3
16119;finish;214135;;U09M00246;0006C9EF32
16120;finish;214215;;U09M00134;0006C9A008
16121;dead;214243;;U09M00211;0006C9C5A3
16122;finish;214273;;U09M00175;0006CA1133
16123;dead;214313;;U09M00166;0006C9EC9A
16124;dead;214333;;U09M00023;0006C9EA75
16125;finish;214385;;U09M00119;0006C98513
16126;dead;214475;;U09M00060;0006C974EC
16127;finish;214525;;U09M00091;0006CA17CC
16128;dead;214545;;U09M00247;0006C9F0F1
16129;finish;214575;;U09M00009;0006C98A17
16130;finish;214646;;U09M00245;0006C9CEED
16131;dead;214666;;U09M00124;0006D0DCA3
16132;dead;214685;;U09M00049;0006C9EDA4
16133;finish;214695;;U09M00248;0006C9C069
16134;dead;214710;;U09M00088;0006C9E41F
16135;finish;214765;;U09M00013;0006C992C9
16136;dead;214775;;U09M00213;0006C9F409
16137;dead;214795;;U09M00207;0006CA1AAC
16138;finish;214834;;U09M00050;0006C9EC60
16139;dead;214845;;U09M00206;0006C9E1A0
16140;finish;214866;;U09M00243;0006C9F748
16141;finish;214885;;U09M00290;0006CE4C29
16142;dead;215119;;U09M00163;0006CA00A8
16361;dead;214266;W-0504;;
16362;dead;214927;W-0566;;
16366;lost;217885;W-0549;;
16367;dead;215330;W-0548;;
16745;lost;214014;;U09M08507;0006CA00E8
16746;dead;214021;;U09M07565;0006D0E72B
16747;dead;214040;;U09M08481;0006D0E337
16748;dead;214045;;U09M08440;0006D0D7F1
16749;dead;214062;;U09M08449;0006D0C851
16750;dead;214071;;U09M07631;0006C97E39
16751;dead;214082;;U09M08729;0006C969F9
16752;dead;214102;;U09M08490;0006C98376
16753;lost;214110;;U09M08544;0006C97CD5
16754;dead;214162;;U09M08500;0006C9FBAB
16755;dead;214173;;U09M08446;0006D0DC2F
16756;dead;214202;;U09M08433;0006D0F510
16757;dead;214243;;U09M07691;0006CA0B81
16758;dead;214253;;U09M08503;0006C98AF9
16759;dead;214313;;U09M07667;0006CE405A
16760;dead;214333;;U09M07661;0006CE3FC1
16761;dead;214342;;U09M08516;0006D0BC4C
16762;dead;214349;;U09M08437;0006D0C384
16763;dead;214372;;U09M08476;0006D0E11E
16764;dead;214404;;U09M08463;0006D0F7EF
16765;dead;214426;;U09M00500;0006D0F3FA
16766;dead;214462;;U09M08407;0006D0BF3E
16767;dead;214475;;U09M07562;0006D0D66C
16768;dead;214482;;U09M08425;0006D11FCE
16769;dead;214545;;U09M07705;0006C97FC6
16770;dead;214566;;U09M00556;0006D0EFEA
16771;finish;214614;;U09M07650;0006CA04D3
16772;dead;214666;;U09M07711;0006C9DC3B
16773;dead;214675;;U09M08474;0006D0F6B0
16774;dead;214685;;U09M07688;0006C9F27A
16775;dead;214735;;U09M07670;0006CA19F1
16776;dead;214754;;U09M07674;0006CA1416
16777;dead;214821;;U09M07698;0006CA03FE
16778;dead;214845;;U09M07652;0006D0D1BC
16779;dead;214900;;U09M08452;0006D0C316
16780;dead;214934;;U09M08509;0006CA0A3C
16781;dead;214942;;U09M08415;0006D0E3ED
16782;dead;214982;;U09M08756;0006C96FFA
16783;dead;215014;;U09M08784;0006C99ECA
16784;lost;215054;;U09M08422;0006D0F02F
16785;dead;215061;;U09M08502;0006C98A11
16786;dead;215101;;U09M08749;0006C9A0D9
16787;dead;215119;;U09M07701;0006C9A9BF
16788;dead;215142;;U09M08765;0006C9985E
16789;dead;215172;;U09M08734;0006C9EB58
16790;dead;215181;;U09M08768;0006C982AE
16791;dead;215211;;U09M08805;0006C9A30C
16792;dead;215253;;U09M08803;0006CA179A
16793;dead;215262;;U09M08658;0006C99B76
16794;dead;215292;;U09M08753;0006C96A7A
16795;dead;215301;;U09M08730;0006C97A3B
16796;dead;215312;;U09M08703;0006C994E0
16797;dead;215320;;U09M07651;0006C9F548
16798;dead;215342;;U09M08750;0006CA0488
16799;lost;215375;;U09M08651;0006CA0FBF
16800;dead;215382;;U09M07753;0006CA14B0
16801;dead;215411;;U09M08780;0006CA0D59
16802;dead;215431;;U09M08748;0006C979BC
16803;dead;215442;;U09M08727;0006C98ABF
16804;dead;215454;;U09M08802;0006C982A5
16805;dead;215490;;U09M08801;0006C9EDB6
16806;dead;215502;;U09M08757;0006CA1489
16807;dead;215510;;U09M07544;0006C9F11A
16808;dead;215531;;U09M08709;0006CA0038
16809;dead;215551;;U09M08745;0006C98FA4
16810;dead;215599;;U09M07581;0006D0EC27
16811;dead;215622;;U09M08769;0006C969B4
16812;dead;215801;;U09M08889;0006C982AB
16813;dead;215831;;U09M00447;0006CA0BC2
16814;dead;215839;;U09M07729;0006D0C3FD
16815;dead;215901;;U09M07553;0006D0F2EF
16816;dead;216153;;U09M00444;0006D0DDEC
16817;dead;216271;;U09M08424;0006D0EB06
16818;dead;216486;;U09M07739;0006C9D58A
16819;dead;216595;;U09M07764;0006D13025
16820;dead;216776;;U09M07658;0006C9E239
16821;dead;216894;;U09M00553;0006D0C7ED
16822;dead;216939;;U09M07767;0006D0F3F6
16823;finish;217052;;U09M00463;0006D0DA24
16824;dead;217300;;U09M00729;0006D0E1C0
16825;dead;217499;;U09M00720;0006D0C074
16826;dead;217678;;U09M00646;0006D0C13A
16827;dead;217738;;U09M08515;0006C9EEED
16828;dead;218025;;U09M00677;0006D0C7E9
16829;dead;218410;;U09M07787;0006CA165F
16830;dead;218600;;U09M00767;0006D0DB9A
16831;finish;218692;;U09M00773;0006D0CEDB
16832;lost;218787;;U09M00501;0006C9FCAC
16833;finish;219241;;U09M00596;0006D0D802
16834;dead;219304;;U09M00517;0006D0F420
16835;monitored;219342;;U09M00634;0006D0C7EC
16836;dead;219454;;U09M00808;0006C98442
16837;dead;219611;;U09M00603;0006D0BC4E
16838;dead;219676;;U09M00727;0006C97CD3
16839;dead;219712;;U09M00801;0006C9927E
